STD,Year,State,County,State FIPS,County FIPS,Rate,Rate Category
Chlamydia,2021,Alabama,Autauga County,01,001,577,"490–3,468"
Chlamydia,2021,Alabama,Baldwin County,01,003,318,306–489
Chlamydia,2021,Alabama,Barbour County,01,005,729,"490–3,468"
Chlamydia,2021,Alabama,Bibb County,01,007,663,"490–3,468"
Chlamydia,2021,Alabama,Blount County,01,009,318,306–489
Chlamydia,2021,Alabama,Bullock County,01,011,824,"490–3,468"
Chlamydia,2021,Alabama,Butler County,01,013,"1,091","490–3,468"
Chlamydia,2021,Alabama,Calhoun County,01,015,545,"490–3,468"
Chlamydia,2021,Alabama,Chambers County,01,017,646,"490–3,468"
Chlamydia,2021,Alabama,Cherokee County,01,019,276,209–305
Chlamydia,2021,Alabama,Chilton County,01,021,331,306–489
Chlamydia,2021,Alabama,Choctaw County,01,023,367,306–489
Chlamydia,2021,Alabama,Clarke County,01,025,725,"490–3,468"
Chlamydia,2021,Alabama,Clay County,01,027,423,306–489
Chlamydia,2021,Alabama,Cleburne County,01,029,252,209–305
Chlamydia,2021,Alabama,Coffee County,01,031,578,"490–3,468"
Chlamydia,2021,Alabama,Colbert County,01,033,517,"490–3,468"
Chlamydia,2021,Alabama,Conecuh County,01,035,556,"490–3,468"
Chlamydia,2021,Alabama,Coosa County,01,037,852,"490–3,468"
Chlamydia,2021,Alabama,Covington County,01,039,474,306–489
Chlamydia,2021,Alabama,Crenshaw County,01,041,825,"490–3,468"
Chlamydia,2021,Alabama,Cullman County,01,043,236,209–305
Chlamydia,2021,Alabama,Dale County,01,045,620,"490–3,468"
Chlamydia,2021,Alabama,Dallas County,01,047,867,"490–3,468"
Chlamydia,2021,Alabama,DeKalb County,01,049,260,209–305
Chlamydia,2021,Alabama,Elmore County,01,051,557,"490–3,468"
Chlamydia,2021,Alabama,Escambia County,01,053,608,"490–3,468"
Chlamydia,2021,Alabama,Etowah County,01,055,469,306–489
Chlamydia,2021,Alabama,Fayette County,01,057,353,306–489
Chlamydia,2021,Alabama,Franklin County,01,059,315,306–489
Chlamydia,2021,Alabama,Geneva County,01,061,468,306–489
Chlamydia,2021,Alabama,Greene County,01,063,"1,075","490–3,468"
Chlamydia,2021,Alabama,Hale County,01,065,"1,295","490–3,468"
Chlamydia,2021,Alabama,Henry County,01,067,756,"490–3,468"
Chlamydia,2021,Alabama,Houston County,01,069,681,"490–3,468"
Chlamydia,2021,Alabama,Jackson County,01,071,265,209–305
Chlamydia,2021,Alabama,Jefferson County,01,073,873,"490–3,468"
Chlamydia,2021,Alabama,Lamar County,01,075,409,306–489
Chlamydia,2021,Alabama,Lauderdale County,01,077,463,306–489
Chlamydia,2021,Alabama,Lawrence County,01,079,305,209–305
Chlamydia,2021,Alabama,Lee County,01,081,494,"490–3,468"
Chlamydia,2021,Alabama,Limestone County,01,083,297,209–305
Chlamydia,2021,Alabama,Lowndes County,01,085,963,"490–3,468"
Chlamydia,2021,Alabama,Macon County,01,087,921,"490–3,468"
Chlamydia,2021,Alabama,Madison County,01,089,602,"490–3,468"
Chlamydia,2021,Alabama,Marengo County,01,091,658,"490–3,468"
Chlamydia,2021,Alabama,Marion County,01,093,246,209–305
Chlamydia,2021,Alabama,Marshall County,01,095,339,306–489
Chlamydia,2021,Alabama,Mobile County,01,097,735,"490–3,468"
Chlamydia,2021,Alabama,Monroe County,01,099,662,"490–3,468"
Chlamydia,2021,Alabama,Montgomery County,01,101,"1,061","490–3,468"
Chlamydia,2021,Alabama,Morgan County,01,103,475,306–489
Chlamydia,2021,Alabama,Perry County,01,105,790,"490–3,468"
Chlamydia,2021,Alabama,Pickens County,01,107,521,"490–3,468"
Chlamydia,2021,Alabama,Pike County,01,109,900,"490–3,468"
Chlamydia,2021,Alabama,Randolph County,01,111,541,"490–3,468"
Chlamydia,2021,Alabama,Russell County,01,113,688,"490–3,468"
Chlamydia,2021,Alabama,St. Clair County,01,115,285,209–305
Chlamydia,2021,Alabama,Shelby County,01,117,263,209–305
Chlamydia,2021,Alabama,Sumter County,01,119,666,"490–3,468"
Chlamydia,2021,Alabama,Talladega County,01,121,619,"490–3,468"
Chlamydia,2021,Alabama,Tallapoosa County,01,123,517,"490–3,468"
Chlamydia,2021,Alabama,Tuscaloosa County,01,125,779,"490–3,468"
Chlamydia,2021,Alabama,Walker County,01,127,359,306–489
Chlamydia,2021,Alabama,Washington County,01,129,449,306–489
Chlamydia,2021,Alabama,Wilcox County,01,131,795,"490–3,468"
Chlamydia,2021,Alabama,Winston County,01,133,169,1–208
Chlamydia,2021,Alaska,Aleutians East Borough,02,013,147,1–208
Chlamydia,2021,Alaska,Aleutians West Census Area,02,016,217,209–305
Chlamydia,2021,Alaska,Anchorage Municipality,02,020,870,"490–3,468"
Chlamydia,2021,Alaska,Bethel Census Area,02,050,"2,786","490–3,468"
Chlamydia,2021,Alaska,Bristol Bay Borough,02,060,119,1–208
Chlamydia,2021,Alaska,Chugach Census Area,02,063,158,1–208
Chlamydia,2021,Alaska,Copper River Census Area,02,066,608,"490–3,468"
Chlamydia,2021,Alaska,Denali Borough,02,068,126,1–208
Chlamydia,2021,Alaska,Dillingham Census Area,02,070,733,"490–3,468"
Chlamydia,2021,Alaska,Fairbanks North Star Borough,02,090,918,"490–3,468"
Chlamydia,2021,Alaska,Haines Borough,02,100,48,1–208
Chlamydia,2021,Alaska,Hoonah-Angoon Census Area,02,105,429,306–489
Chlamydia,2021,Alaska,Juneau City and Borough,02,110,310,306–489
Chlamydia,2021,Alaska,Kenai Peninsula Borough,02,122,336,306–489
Chlamydia,2021,Alaska,Ketchikan Gateway Borough,02,130,254,209–305
Chlamydia,2021,Alaska,Kodiak Island Borough,02,150,250,209–305
Chlamydia,2021,Alaska,Kusilvak Census Area,02,158,"3,098","490–3,468"
Chlamydia,2021,Alaska,Lake and Peninsula Borough,02,164,636,"490–3,468"
Chlamydia,2021,Alaska,Matanuska-Susitna Borough,02,170,366,306–489
Chlamydia,2021,Alaska,Nome Census Area,02,180,"2,058","490–3,468"
Chlamydia,2021,Alaska,North Slope Borough,02,185,793,"490–3,468"
Chlamydia,2021,Alaska,Northwest Arctic Borough,02,188,"2,063","490–3,468"
Chlamydia,2021,Alaska,Petersburg Borough,02,195,0,0
Chlamydia,2021,Alaska,Prince of Wales-Hyder Census Area,02,198,0,0
Chlamydia,2021,Alaska,Sitka City and Borough,02,220,178,1–208
Chlamydia,2021,Alaska,Skagway Municipality,02,230,0,0
Chlamydia,2021,Alaska,Southeast Fairbanks Census Area,02,240,172,1–208
Chlamydia,2021,Alaska,Wrangell City and Borough,02,275,49,1–208
Chlamydia,2021,Alaska,Yakutat City and Borough,02,282,142,1–208
Chlamydia,2021,Alaska,Yukon-Koyukuk Census Area,02,290,"1,024","490–3,468"
Chlamydia,2021,Arizona,Apache County,04,001,785,"490–3,468"
Chlamydia,2021,Arizona,Cochise County,04,003,320,306–489
Chlamydia,2021,Arizona,Coconino County,04,005,638,"490–3,468"
Chlamydia,2021,Arizona,Gila County,04,007,308,306–489
Chlamydia,2021,Arizona,Graham County,04,009,374,306–489
Chlamydia,2021,Arizona,Greenlee County,04,011,404,306–489
Chlamydia,2021,Arizona,La Paz County,04,012,323,306–489
Chlamydia,2021,Arizona,Maricopa County,04,013,635,"490–3,468"
Chlamydia,2021,Arizona,Mohave County,04,015,224,209–305
Chlamydia,2021,Arizona,Navajo County,04,017,613,"490–3,468"
Chlamydia,2021,Arizona,Pima County,04,019,568,"490–3,468"
Chlamydia,2021,Arizona,Pinal County,04,021,396,306–489
Chlamydia,2021,Arizona,Santa Cruz County,04,023,399,306–489
Chlamydia,2021,Arizona,Yavapai County,04,025,197,1–208
Chlamydia,2021,Arizona,Yuma County,04,027,553,"490–3,468"
Chlamydia,2021,Arkansas,Arkansas County,05,001,676,"490–3,468"
Chlamydia,2021,Arkansas,Ashley County,05,003,519,"490–3,468"
Chlamydia,2021,Arkansas,Baxter County,05,005,185,1–208
Chlamydia,2021,Arkansas,Benton County,05,007,328,306–489
Chlamydia,2021,Arkansas,Boone County,05,009,336,306–489
Chlamydia,2021,Arkansas,Bradley County,05,011,749,"490–3,468"
Chlamydia,2021,Arkansas,Calhoun County,05,013,485,306–489
Chlamydia,2021,Arkansas,Carroll County,05,015,239,209–305
Chlamydia,2021,Arkansas,Chicot County,05,017,669,"490–3,468"
Chlamydia,2021,Arkansas,Clark County,05,019,689,"490–3,468"
Chlamydia,2021,Arkansas,Clay County,05,021,321,306–489
Chlamydia,2021,Arkansas,Cleburne County,05,023,236,209–305
Chlamydia,2021,Arkansas,Cleveland County,05,025,532,"490–3,468"
Chlamydia,2021,Arkansas,Columbia County,05,027,917,"490–3,468"
Chlamydia,2021,Arkansas,Conway County,05,029,537,"490–3,468"
Chlamydia,2021,Arkansas,Craighead County,05,031,802,"490–3,468"
Chlamydia,2021,Arkansas,Crawford County,05,033,290,209–305
Chlamydia,2021,Arkansas,Crittenden County,05,035,"1,292","490–3,468"
Chlamydia,2021,Arkansas,Cross County,05,037,576,"490–3,468"
Chlamydia,2021,Arkansas,Dallas County,05,039,"1,015","490–3,468"
Chlamydia,2021,Arkansas,Desha County,05,041,604,"490–3,468"
Chlamydia,2021,Arkansas,Drew County,05,043,532,"490–3,468"
Chlamydia,2021,Arkansas,Faulkner County,05,045,554,"490–3,468"
Chlamydia,2021,Arkansas,Franklin County,05,047,227,209–305
Chlamydia,2021,Arkansas,Fulton County,05,049,148,1–208
Chlamydia,2021,Arkansas,Garland County,05,051,445,306–489
Chlamydia,2021,Arkansas,Grant County,05,053,238,209–305
Chlamydia,2021,Arkansas,Greene County,05,055,430,306–489
Chlamydia,2021,Arkansas,Hempstead County,05,057,889,"490–3,468"
Chlamydia,2021,Arkansas,Hot Spring County,05,059,459,306–489
Chlamydia,2021,Arkansas,Howard County,05,061,795,"490–3,468"
Chlamydia,2021,Arkansas,Independence County,05,063,408,306–489
Chlamydia,2021,Arkansas,Izard County,05,065,252,209–305
Chlamydia,2021,Arkansas,Jackson County,05,067,779,"490–3,468"
Chlamydia,2021,Arkansas,Jefferson County,05,069,"1,268","490–3,468"
Chlamydia,2021,Arkansas,Johnson County,05,071,344,306–489
Chlamydia,2021,Arkansas,Lafayette County,05,073,698,"490–3,468"
Chlamydia,2021,Arkansas,Lawrence County,05,075,344,306–489
Chlamydia,2021,Arkansas,Lee County,05,077,905,"490–3,468"
Chlamydia,2021,Arkansas,Lincoln County,05,079,338,306–489
Chlamydia,2021,Arkansas,Little River County,05,081,695,"490–3,468"
Chlamydia,2021,Arkansas,Logan County,05,083,354,306–489
Chlamydia,2021,Arkansas,Lonoke County,05,085,379,306–489
Chlamydia,2021,Arkansas,Madison County,05,087,153,1–208
Chlamydia,2021,Arkansas,Marion County,05,089,236,209–305
Chlamydia,2021,Arkansas,Miller County,05,091,870,"490–3,468"
Chlamydia,2021,Arkansas,Mississippi County,05,093,"1,102","490–3,468"
Chlamydia,2021,Arkansas,Monroe County,05,095,"1,077","490–3,468"
Chlamydia,2021,Arkansas,Montgomery County,05,097,197,1–208
Chlamydia,2021,Arkansas,Nevada County,05,099,770,"490–3,468"
Chlamydia,2021,Arkansas,Newton County,05,101,139,1–208
Chlamydia,2021,Arkansas,Ouachita County,05,103,852,"490–3,468"
Chlamydia,2021,Arkansas,Perry County,05,105,291,209–305
Chlamydia,2021,Arkansas,Phillips County,05,107,"1,283","490–3,468"
Chlamydia,2021,Arkansas,Pike County,05,109,298,209–305
Chlamydia,2021,Arkansas,Poinsett County,05,111,662,"490–3,468"
Chlamydia,2021,Arkansas,Polk County,05,113,217,209–305
Chlamydia,2021,Arkansas,Pope County,05,115,354,306–489
Chlamydia,2021,Arkansas,Prairie County,05,117,479,306–489
Chlamydia,2021,Arkansas,Pulaski County,05,119,988,"490–3,468"
Chlamydia,2021,Arkansas,Randolph County,05,121,413,306–489
Chlamydia,2021,Arkansas,St. Francis County,05,123,"1,025","490–3,468"
Chlamydia,2021,Arkansas,Saline County,05,125,348,306–489
Chlamydia,2021,Arkansas,Scott County,05,127,143,1–208
Chlamydia,2021,Arkansas,Searcy County,05,129,254,209–305
Chlamydia,2021,Arkansas,Sebastian County,05,131,532,"490–3,468"
Chlamydia,2021,Arkansas,Sevier County,05,133,367,306–489
Chlamydia,2021,Arkansas,Sharp County,05,135,238,209–305
Chlamydia,2021,Arkansas,Stone County,05,137,160,1–208
Chlamydia,2021,Arkansas,Union County,05,139,777,"490–3,468"
Chlamydia,2021,Arkansas,Van Buren County,05,141,172,1–208
Chlamydia,2021,Arkansas,Washington County,05,143,675,"490–3,468"
Chlamydia,2021,Arkansas,White County,05,145,448,306–489
Chlamydia,2021,Arkansas,Woodruff County,05,147,654,"490–3,468"
Chlamydia,2021,Arkansas,Yell County,05,149,362,306–489
Chlamydia,2021,California,Alameda County,06,001,452,306–489
Chlamydia,2021,California,Alpine County,06,003,162,1–208
Chlamydia,2021,California,Amador County,06,005,158,1–208
Chlamydia,2021,California,Butte County,06,007,494,"490–3,468"
Chlamydia,2021,California,Calaveras County,06,009,26,1–208
Chlamydia,2021,California,Colusa County,06,011,260,209–305
Chlamydia,2021,California,Contra Costa County,06,013,424,306–489
Chlamydia,2021,California,Del Norte County,06,015,242,209–305
Chlamydia,2021,California,El Dorado County,06,017,186,1–208
Chlamydia,2021,California,Fresno County,06,019,637,"490–3,468"
Chlamydia,2021,California,Glenn County,06,021,198,1–208
Chlamydia,2021,California,Humboldt County,06,023,351,306–489
Chlamydia,2021,California,Imperial County,06,025,470,306–489
Chlamydia,2021,California,Inyo County,06,027,290,209–305
Chlamydia,2021,California,Kern County,06,029,651,"490–3,468"
Chlamydia,2021,California,Kings County,06,031,671,"490–3,468"
Chlamydia,2021,California,Lake County,06,033,350,306–489
Chlamydia,2021,California,Lassen County,06,035,100,1–208
Chlamydia,2021,California,Los Angeles County,06,037,580,"490–3,468"
Chlamydia,2021,California,Madera County,06,039,544,"490–3,468"
Chlamydia,2021,California,Marin County,06,041,230,209–305
Chlamydia,2021,California,Mariposa County,06,043,157,1–208
Chlamydia,2021,California,Mendocino County,06,045,407,306–489
Chlamydia,2021,California,Merced County,06,047,384,306–489
Chlamydia,2021,California,Modoc County,06,049,335,306–489
Chlamydia,2021,California,Mono County,06,051,294,209–305
Chlamydia,2021,California,Monterey County,06,053,503,"490–3,468"
Chlamydia,2021,California,Napa County,06,055,357,306–489
Chlamydia,2021,California,Nevada County,06,057,176,1–208
Chlamydia,2021,California,Orange County,06,059,373,306–489
Chlamydia,2021,California,Placer County,06,061,207,1–208
Chlamydia,2021,California,Plumas County,06,063,191,1–208
Chlamydia,2021,California,Riverside County,06,065,488,306–489
Chlamydia,2021,California,Sacramento County,06,067,481,306–489
Chlamydia,2021,California,San Benito County,06,069,219,209–305
Chlamydia,2021,California,San Bernardino County,06,071,580,"490–3,468"
Chlamydia,2021,California,San Diego County,06,073,552,"490–3,468"
Chlamydia,2021,California,San Francisco County,06,075,791,"490–3,468"
Chlamydia,2021,California,San Joaquin County,06,077,535,"490–3,468"
Chlamydia,2021,California,San Luis Obispo County,06,079,344,306–489
Chlamydia,2021,California,San Mateo County,06,081,318,306–489
Chlamydia,2021,California,Santa Barbara County,06,083,317,306–489
Chlamydia,2021,California,Santa Clara County,06,085,268,209–305
Chlamydia,2021,California,Santa Cruz County,06,087,319,306–489
Chlamydia,2021,California,Shasta County,06,089,290,209–305
Chlamydia,2021,California,Sierra County,06,091,0,0
Chlamydia,2021,California,Siskiyou County,06,093,224,209–305
Chlamydia,2021,California,Solano County,06,095,524,"490–3,468"
Chlamydia,2021,California,Sonoma County,06,097,332,306–489
Chlamydia,2021,California,Stanislaus County,06,099,434,306–489
Chlamydia,2021,California,Sutter County,06,101,213,209–305
Chlamydia,2021,California,Tehama County,06,103,305,209–305
Chlamydia,2021,California,Trinity County,06,105,75,1–208
Chlamydia,2021,California,Tulare County,06,107,612,"490–3,468"
Chlamydia,2021,California,Tuolumne County,06,109,186,1–208
Chlamydia,2021,California,Ventura County,06,111,370,306–489
Chlamydia,2021,California,Yolo County,06,113,409,306–489
Chlamydia,2021,California,Yuba County,06,115,399,306–489
Chlamydia,2021,Colorado,Adams County,08,001,558,"490–3,468"
Chlamydia,2021,Colorado,Alamosa County,08,003,616,"490–3,468"
Chlamydia,2021,Colorado,Arapahoe County,08,005,563,"490–3,468"
Chlamydia,2021,Colorado,Archuleta County,08,007,73,1–208
Chlamydia,2021,Colorado,Baca County,08,009,142,1–208
Chlamydia,2021,Colorado,Bent County,08,011,313,306–489
Chlamydia,2021,Colorado,Boulder County,08,013,356,306–489
Chlamydia,2021,Colorado,Broomfield County,08,014,256,209–305
Chlamydia,2021,Colorado,Chaffee County,08,015,110,1–208
Chlamydia,2021,Colorado,Cheyenne County,08,017,176,1–208
Chlamydia,2021,Colorado,Clear Creek County,08,019,201,1–208
Chlamydia,2021,Colorado,Conejos County,08,021,355,306–489
