STD,Year,State,County,State FIPS,County FIPS,Rate,Rate Category
Primary and secondary syphilis,2021,Alabama,Autauga County,1,1,18.6,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alabama,Baldwin County,1,3,7.5,6.6–15.4
Primary and secondary syphilis,2021,Alabama,Barbour County,1,5,0.0,0.0
Primary and secondary syphilis,2021,Alabama,Bibb County,1,7,4.4,0.1–6.5
Primary and secondary syphilis,2021,Alabama,Blount County,1,9,3.4,0.1–6.5
Primary and secondary syphilis,2021,Alabama,Bullock County,1,11,29.1,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alabama,Butler County,1,13,21.2,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alabama,Calhoun County,1,15,6.0,0.1–6.5
Primary and secondary syphilis,2021,Alabama,Chambers County,1,17,8.7,6.6–15.4
Primary and secondary syphilis,2021,Alabama,Cherokee County,1,19,8.0,6.6–15.4
Primary and secondary syphilis,2021,Alabama,Chilton County,1,21,2.2,0.1–6.5
Primary and secondary syphilis,2021,Alabama,Choctaw County,1,23,0.0,0.0
Primary and secondary syphilis,2021,Alabama,Clarke County,1,25,8.8,6.6–15.4
Primary and secondary syphilis,2021,Alabama,Clay County,1,27,0.0,0.0
Primary and secondary syphilis,2021,Alabama,Cleburne County,1,29,33.1,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alabama,Coffee County,1,31,16.6,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alabama,Colbert County,1,33,12.2,6.6–15.4
Primary and secondary syphilis,2021,Alabama,Conecuh County,1,35,8.8,6.6–15.4
Primary and secondary syphilis,2021,Alabama,Coosa County,1,37,9.6,6.6–15.4
Primary and secondary syphilis,2021,Alabama,Covington County,1,39,2.7,0.1–6.5
Primary and secondary syphilis,2021,Alabama,Crenshaw County,1,41,22.9,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alabama,Cullman County,1,43,8.9,6.6–15.4
Primary and secondary syphilis,2021,Alabama,Dale County,1,45,22.3,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alabama,Dallas County,1,47,10.6,6.6–15.4
Primary and secondary syphilis,2021,Alabama,DeKalb County,1,49,0.0,0.0
Primary and secondary syphilis,2021,Alabama,Elmore County,1,51,1.1,0.1–6.5
Primary and secondary syphilis,2021,Alabama,Escambia County,1,53,2.7,0.1–6.5
Primary and secondary syphilis,2021,Alabama,Etowah County,1,55,3.9,0.1–6.5
Primary and secondary syphilis,2021,Alabama,Fayette County,1,57,6.2,0.1–6.5
Primary and secondary syphilis,2021,Alabama,Franklin County,1,59,18.7,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alabama,Geneva County,1,61,7.5,6.6–15.4
Primary and secondary syphilis,2021,Alabama,Greene County,1,63,39.3,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alabama,Hale County,1,65,0.0,0.0
Primary and secondary syphilis,2021,Alabama,Henry County,1,67,5.7,0.1–6.5
Primary and secondary syphilis,2021,Alabama,Houston County,1,69,19.5,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alabama,Jackson County,1,71,3.8,0.1–6.5
Primary and secondary syphilis,2021,Alabama,Jefferson County,1,73,18.3,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alabama,Lamar County,1,75,43.8,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alabama,Lauderdale County,1,77,21.3,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alabama,Lawrence County,1,79,9.1,6.6–15.4
Primary and secondary syphilis,2021,Alabama,Lee County,1,81,10.2,6.6–15.4
Primary and secondary syphilis,2021,Alabama,Limestone County,1,83,7.4,6.6–15.4
Primary and secondary syphilis,2021,Alabama,Lowndes County,1,85,10.0,6.6–15.4
Primary and secondary syphilis,2021,Alabama,Macon County,1,87,10.6,6.6–15.4
Primary and secondary syphilis,2021,Alabama,Madison County,1,89,9.1,6.6–15.4
Primary and secondary syphilis,2021,Alabama,Marengo County,1,91,15.8,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alabama,Marion County,1,93,30.8,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alabama,Marshall County,1,95,5.1,0.1–6.5
Primary and secondary syphilis,2021,Alabama,Mobile County,1,97,34.4,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alabama,Monroe County,1,99,0.0,0.0
Primary and secondary syphilis,2021,Alabama,Montgomery County,1,101,29.9,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alabama,Morgan County,1,103,11.3,6.6–15.4
Primary and secondary syphilis,2021,Alabama,Perry County,1,105,23.9,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alabama,Pickens County,1,107,21.3,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alabama,Pike County,1,109,27.3,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alabama,Randolph County,1,111,13.6,6.6–15.4
Primary and secondary syphilis,2021,Alabama,Russell County,1,113,32.4,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alabama,St. Clair County,1,115,18.3,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alabama,Shelby County,1,117,9.3,6.6–15.4
Primary and secondary syphilis,2021,Alabama,Sumter County,1,119,16.4,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alabama,Talladega County,1,121,8.6,6.6–15.4
Primary and secondary syphilis,2021,Alabama,Tallapoosa County,1,123,2.4,0.1–6.5
Primary and secondary syphilis,2021,Alabama,Tuscaloosa County,1,125,26.9,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alabama,Walker County,1,127,10.8,6.6–15.4
Primary and secondary syphilis,2021,Alabama,Washington County,1,129,0.0,0.0
Primary and secondary syphilis,2021,Alabama,Wilcox County,1,131,0.0,0.0
Primary and secondary syphilis,2021,Alabama,Winston County,1,133,4.2,0.1–6.5
Primary and secondary syphilis,2021,Alaska,Aleutians East Borough,2,13,0.0,0.0
Primary and secondary syphilis,2021,Alaska,Aleutians West Census Area,2,16,0.0,0.0
Primary and secondary syphilis,2021,Alaska,Anchorage Municipality,2,20,52.4,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alaska,Bethel Census Area,2,50,16.2,"15.5–1,130.7"
Primary and secondary syphilis,2021,Alaska,Bristol Bay Borough,2,60,0.0,0.0
Primary and secondary syphilis,2021,Alaska,Chugach Census Area,2,63,0.0,0.0
