Class,DPS,Boss,Rank,Fight Type,Appearance
Priest,167658.3,Eranog,1,Single Target,1
Mage,162326.3,Eranog,2,Single Target,1
Mage,160170.7,Eranog,3,Single Target,1
Death Knight,156711.6,Eranog,4,Single Target,1
Mage,151049.7,Eranog,5,Single Target,1
Mage,150391.2,Eranog,6,Single Target,1
Warlock,149931.8,Eranog,7,Single Target,1
Mage,149895.8,Eranog,8,Single Target,1
Evoker,149099.3,Eranog,9,Single Target,1
Death Knight,149035.6,Eranog,10,Single Target,1
Hunter,108185.6,Terros,1,Single Target,1
Hunter,107625.1,Terros,2,Single Target,1
Hunter,106494.2,Terros,3,Single Target,1
Hunter,105174.3,Terros,4,Single Target,1
Hunter,104508.5,Terros,5,Single Target,1
Hunter,104395.7,Terros,6,Single Target,1
Hunter,103013.3,Terros,7,Single Target,1
Hunter,102951.5,Terros,8,Single Target,1
Hunter,102853.2,Terros,9,Single Target,1
Hunter,102744.6,Terros,10,Single Target,1
Hunter,254163.8,PrimalCouncil,1,AOE,1
Druid,254102.3,PrimalCouncil,2,AOE,1
Hunter,253490.8,PrimalCouncil,3,AOE,1
Druid,253375.9,PrimalCouncil,4,AOE,1
Druid,252488.8,PrimalCouncil,5,AOE,1
Druid,250566.7,PrimalCouncil,6,AOE,1
Hunter,247566.9,PrimalCouncil,7,AOE,1
Hunter,247307.6,PrimalCouncil,8,AOE,1
Priest,244429.5,PrimalCouncil,9,AOE,1
Hunter,244157.9,PrimalCouncil,10,AOE,1
Warrior,103367.4,Sennarth,1,Mixed,1
Mage,103348.1,Sennarth,2,Mixed,1
Mage,103099.7,Sennarth,3,Mixed,1
Mage,102807.3,Sennarth,4,Mixed,1
Hunter,102515.5,Sennarth,5,Mixed,1
Warrior,102301.6,Sennarth,6,Mixed,1
Hunter,102181.6,Sennarth,7,Mixed,1
Warrior,101735.3,Sennarth,8,Mixed,1
Mage,101723.5,Sennarth,9,Mixed,1
Mage,101662.5,Sennarth,10,Mixed,1
Demon Hunter,114794.6,Dathea,1,Mixed,1
Rogue,113246.7,Dathea,2,Mixed,1
Druid,112846.7,Dathea,3,Mixed,1
Monk,111558.7,Dathea,4,Mixed,1
Warrior,111178.3,Dathea,5,Mixed,1
Mage,111151.6,Dathea,6,Mixed,1
Monk,111041.1,Dathea,7,Mixed,1
Priest,110889.7,Dathea,8,Mixed,1
Mage,109847.8,Dathea,9,Mixed,1
Monk,109553,Dathea,10,Mixed,1
Rogue,136572,Kurog,1,Single Target,1
Monk,136376.7,Kurog,2,Single Target,1
Mage,132804.7,Kurog,3,Single Target,1
Warrior,132451.9,Kurog,4,Single Target,1
Shaman,132450.7,Kurog,5,Single Target,1
Death Knight,131966.6,Kurog,6,Single Target,1
Demon Hunter,131217.5,Kurog,7,Single Target,1
Mage,131167.6,Kurog,8,Single Target,1
Rogue,130909.5,Kurog,9,Single Target,1
Demon Hunter,130292.3,Kurog,10,Single Target,1
Druid,137102.7,Diurna,1,Mixed,1
Shaman,136258.1,Diurna,2,Mixed,1
Priest,136105.5,Diurna,3,Mixed,1
Demon Hunter,135735.6,Diurna,4,Mixed,1
Monk,135094,Diurna,5,Mixed,1
Demon Hunter,134225.3,Diurna,6,Mixed,1
Hunter,134205.5,Diurna,7,Mixed,1
Priest,133585,Diurna,8,Mixed,1
Druid,133345.4,Diurna,9,Mixed,1
Rogue,132943.7,Diurna,10,Mixed,1
Evoker,116580.5,Raszageth,1,Single Target,1
Evoker,112263.3,Raszageth,2,Single Target,1
Warlock,110894.1,Raszageth,3,Single Target,1
Rogue,109770.7,Raszageth,4,Single Target,1
Warlock,108056.3,Raszageth,5,Single Target,1
Warlock,107516.1,Raszageth,6,Single Target,1
Demon Hunter,107130.9,Raszageth,7,Single Target,1
Hunter,106987.5,Raszageth,8,Single Target,1
Rogue,106947.1,Raszageth,9,Single Target,1
Rogue,106719.4,Raszageth,10,Single Target,1
